ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
GOOGL,Alphabet Inc.,Communication Services,United States,open,USD,True,2026-09-07,338.4599914550781,0.0572455848046994,16.666666666666668,0.4292724315409733,1.3737623762376237,0.3986589199719379,0.0018975127083582,2026-09-18,347.3299865722656,0.3951360921500795,0.3986588319532509,17.306257484247457,0.026206923539335847,0.0335638366599921,2026-09-14,,,,,,,ollama,positive,"Les actualites presentes sont majoritairement positives, avec des annonces de nouveaux investissements et de nouveaux partenariats pour Alphabet Inc., notamment avec Anthropic et Pixxel, ainsi qu'une mention positive de la performance de Google dans le domaine de l'espace.",concentrated,10-K SEC (2026-02-05) : customer or groups of affiliated customers represented more than 10% of our revenue [https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm]
7269.T,Suzuki Motor Corporation,Consumer Cyclical,Japan,open,JPY,False,2026-09-07,2055.0,1.0,11.446045206431098,0.3677457209712467,1.129979035639413,0.0437389453488024,0.0036748849442611,2026-09-18,2028.0,0.2535771613858653,0.043738945348802405,11.181069000215281,-0.013138686131386912,0.0068126520681264,2026-09-14,,,,,,,ollama,positive,"L'actualité présente plusieurs éléments positifs, tels que la croissance des ventes de Pricol Ltd, la présence de Toyota dans le domaine des véhicules autonomes, la croissance de FIEM Industries Ltd et la stratégie de Suzuki pour réclamer 50% de part de marché en Inde.",diversified,"L'entreprise propose une large gamme de produits et de services, y compris automobiles, motorcycles, outboard motors, vélos électriques, produits pour la construction, services de location, vente de biens immobiliers, etc., ce qui suggère une base de clients large et diversifiée."
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-07,15.739999771118164,6.0,15.865069033525833,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287882848640419,2026-09-18,15.550000190734863,0.4899534014327369,0.31565279935967516,15.845250537516854,-0.012071129805982461,0.0108005132634045,2026-09-14,,,,,,,ollama,positive,"Les actualites presentes montrent une croissance revenue et des marges expansionnees, ainsi qu'une activation renforcee du World Cup, ce qui suggere un ton general positif pour l'action.",diversified,"L'entreprise propose une large gamme de boissons à travers divers marchés, ce qui suggère une base de clients large et diversifiée."
DINO,HF Sinclair Corporation,Energy,United States,open,USD,True,2026-09-07,105.4100036621094,0.3676186219658423,33.333333333333336,0.4298824767292535,1.0583333333333331,1.004672472361337,0.4464022363590552,2026-09-18,116.62000274658203,0.38624666751823367,1.004672472361337,37.315514593552734,0.10634663404818911,0.10634663404818911,2026-09-18,,,,,,,ollama,positive,"Les actualites presentes montrent une action positive sur HF Sinclair Corporation, avec des actions de buyback, des registrations de parts et des analyses positives de la part de Goldman Sachs et de Zacks.com, indiquant une confiance croissante dans la company.",concentrated,"Le texte suggère que HF Sinclair Corporation dépend principalement d'un petit nombre de clients, tels que les 1 700 stations qu'elle approvisionne et les clients gouvernementaux, ce qui indique une concentration du marché."
AMG,"Affiliated Managers Group, Inc.",Financial Services,United States,open,USD,True,2026-09-07,370.2200012207031,0.0261673330451548,8.333333333333334,0.3118519443860001,1.1566666666666667,0.5444316689619011,0.1916210237806628,2026-09-18,352.17999267578125,0.33332769308625454,0.5444316689619011,8.021268002785002,-0.04872780640008556,-0.0373291752975282,2026-09-11,,,,,,,ollama,positive,"Les actualites recentes sur Affiliated Managers Group, Inc. (AMG) suggererent une performance solide, des repurchases de actions et une croissance du titre, ce qui indique un ton general positif.",concentrated,"Le texte décrit principalement des services et des clients institutionnels et de haut niveau de richesse, ce qui suggère une concentration vers ces secteurs."
AMN,"AMN Healthcare Services, Inc.",Healthcare,United States,open,USD,True,2026-09-07,33.79999923706055,0.5732349284373687,16.666666666666668,0.3715364378985923,0.8577235772357723,0.770661038149336,0.1038608722753562,2026-09-18,34.54999923706055,0.3528775953351766,0.770661038149336,17.23850392769731,0.02218934961328789,0.0426036234884685,2026-09-16,,,,,,,ollama,positive,"L'actualité présente plusieurs articles positifs sur l'action d'AMN Healthcare Services, Inc., indiquant une croissance solide et une augmentation du prix du titre de 59.3% en six mois.",diversified,"L'entreprise propose une gamme de services diversifiés à une variété de clients, notamment des hôpitaux, des cliniques, des écoles et des groupes de santé, ce qui suggère une concentration sur une base de clients large et diversifiée."
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-07,1080.0,1.0,29.4430361001129,0.5327504414945263,1.4274781341107872,0.2210448961994704,0.1193737788155853,2026-09-18,1125.0,0.4810732466001457,0.22104489619947043,30.76544312328001,0.04166666666666674,0.04166666666666674,2026-09-18,,,,,,,ollama,positive,"L'action de United Integrated Services Co., Ltd. (2404.TW) a connu une augmentation de son EPS record et un backlog d'ordres approchant les 200 milliards de dollars, indiquant une performance solide et une confiance croissante dans l'entreprise.",diversified,"L'entreprise propose une gamme d'activités et de services qui englobent des projets de construction, de maintenance, de conception, d'installation et de trading, ce qui suggère une base de clients large et diversifiée."
1878.T,"Daito Trust Construction Co.,Ltd.",Real Estate,Japan,open,JPY,False,2026-09-07,3255.0,4.0,72.5194688991401,0.3712711765108334,1.138121546961326,0.0495361118530111,0.037658011358747,2026-09-18,3352.0,0.3143592832378457,0.0495361118530111,73.92296506651208,0.02980030721966198,0.0420890937019968,2026-09-17,,,,,,,ollama,positive,"L'entreprise développe de nouveaux projets et des activités dans de nouveaux marchés, ce qui suggère une expansion et une croissance potentielle.",concentrated,"L'entreprise semble se concentrer sur une petite base de clients, avec des activités spécialisées et un engagement dans des secteurs tels que les logements et les services de gestion."
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-07,493.0,1.0,13.440200738292276,0.5083493970001565,1.221187943262411,0.6979320984207729,0.1823536824323966,2026-09-18,518.0,0.34903830398816305,0.6979320984207729,14.165777366985818,0.05070993914807298,0.0608519269776877,2026-09-17,,,,,,,ollama,negative,Aucune information positive ou neutre n'est disponible dans les actualités fournies.,diversified,"Le texte mentionne plusieurs applications (memoires, TFT LCD, hard disk drives, serveurs, etc.) et plusieurs pays de production, ce qui suggère une base de clients large et diversifiée."
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-07,114.0,5.0,15.539380163948476,0.6850992987612634,1.269392033542977,0.1097823325195554,0.0036748849442611,2026-09-18,115.0,0.6390583093317839,0.10978233251955549,15.72455981856534,0.00877192982456143,0.00877192982456143,2026-09-18,,,,,,,ollama,positive,L'actualité mentionne une publication de résultats financiers positifs pour la deuxième trimestre et les six premiers mois de l'année 2026.,diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-07,2871.5,2.0,31.987658209505497,0.5742189230736916,1.0755813953488371,0.4504489786074388,0.0287882848640419,2026-09-18,2848.5,0.5464719339121769,0.4504489786074388,31.409541466581093,-0.008009751001218923,0.0095768761971095,2026-09-17,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de diversification, de reussite financiere et de decisions stratégiques, ce qui suggere un ton general positif pour l'action de Kirin Holdings Company, Limited.",diversified,"L'entreprise propose une gamme de produits et de services diversifiés, notamment en matière de boissons, de médicaments, de cosmétiques et de services logistiques, ce qui suggère qu'elle n'est pas dépendante d'un petit nombre de clients."
FHI,"Federated Hermes, Inc.",Financial Services,United States,open,USD,True,2026-09-07,62.400001525878906,0.3105022383020946,16.666666666666668,0.5745578606380668,1.24,0.2584817680613112,0.1916210237806628,2026-09-18,56.36000061035156,0.6325824180189987,0.2584817680613112,15.231918571497115,-0.09679488409984094,-0.0225961508482871,2026-09-11,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance de l'AUM, de nouvelles opportunites de tokenisation, de performances solides et de recommandations positives des brokerages.",diversified,"FHI fournit ses services à une large gamme de clients, y compris individuels, institutions financières, organisations caritatives, gouvernements et professionnels du conseil investment, ce qui suggère une base de clients large et diversifiée."
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Ireland,open,USD,True,2026-09-07,246.8099975585937,0.078503060392599,16.666666666666668,0.3596764804011807,1.1097560975609757,0.9019725862778568,0.1038608722753562,2026-09-18,243.83999633789062,0.3006209892733711,0.9019725862778569,16.661358760097077,-0.012033553138373065,0.0017017064669175,2026-09-14,,,,,,,ollama,positive,"L'action de Jazz Pharmaceuticals plc (JAZZ) a connu plusieurs actualités positives, notamment la publication de résultats de recherche favorables pour son produit Ziihera, une augmentation de son prix cible et une révision de son prix cible par Morgan Stanley.",diversified,"L'entreprise est mentionnée comme fournisseur pour plusieurs groupes et sociétés, et a des collaborations avec plusieurs entreprises, ce qui suggère une base de clients large et diversifiée."
NDX1.DE,Nordex SE,Industrials,Germany,open,EUR,True,2026-09-07,40.65999984741211,0.2049516321841237,8.333333333333334,0.2809530541260214,1.1803935860058308,0.7311927981312882,0.1193737788155853,2026-09-18,40.65999984741211,0.2497105028272142,0.7311927981312882,8.333333333333332,0.0,0.0024593820584448,2026-09-18,,,,,,,ollama,positive,"L'action de Nordex SE est soutenue par des actualites positives sur les ventes, les bénéfices et les ordres, ainsi que par des prévisions de croissance et de valeur intrinsèque.",concentrated,"L'entreprise seeme se concentrer sur un client principal et une région spécifique (Europe, North America, Latin America) avec une présence importante en Turquie, ce qui suggere une base de clients concentrée."
PATH,"UiPath, Inc.",Technology,United States,open,USD,True,2026-09-07,15.1899995803833,0.6377663159668964,8.333333333333334,0.421481571417571,1.2309397163120568,0.3953662120035093,0.1823536824323966,2026-09-18,13.760000228881836,0.5703309875863316,0.3953662120035093,7.638338561181719,-0.094140842067448,-0.0213956430706455,2026-09-14,,,,,,,ollama,negative,"L'actualité présente une baisse significative du cours de l'action (17%) après le rapport des résultats financiers, ainsi que des préoccupations quant à la concurrence et à la croissance du groupe.",concentrated,"10-K SEC (2026-03-25) : customers with ARR of $1 million or more, which accounted for approximately 89% and 52% of our revenue [https://www.sec.gov/Archives/edgar/data/1734722/000173472226000012/path-20260131.htm]"
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,open,USD,True,2026-09-07,258.510009765625,0.0749500576840561,16.666666666666668,0.3971922339325728,1.279874213836478,0.1830850314182188,0.0036748849442611,2026-09-18,251.19000244140625,0.4827022918311805,0.18308503141821886,16.386764282284112,-0.028316146561811473,-0.0057638802973395,2026-09-11,,,,,,,ollama,negative,"L'actualité présente plusieurs éléments négatifs, tels que la chute du stock de SpaceX, la liste noire de l'Anthropic, l'accident d'un avion Amazon à Miami, et des réductions de position dans les portefeuilles d'investissement, ce qui suggère un ton général négatif pour l'action.",diversified,"Le texte décrit l'entreprise comme servie à la fois au grand public, à des développeurs, des entreprises, des créateurs de contenu, des annonceurs et des employés, indiquant une large base de clients diversifiée."
SENEB,Seneca Foods Corporation,Consumer Defensive,United States,open,USD,True,2026-09-07,208.52999877929688,0.0464569612460073,8.333333333333334,0.7382663731032517,1.1523255813953488,0.8533014178846441,0.0287882848640419,2026-09-18,188.22000122070312,0.9389642335636816,0.8533014178846441,7.610890191291438,-0.09739604698357751,-0.0973960469835775,2026-09-11,,,,,,,ollama,positive,"Les actualites recentes sur Seneca Foods Corporation (SENEA) suggere un ton general positif, avec des articles qui soulignent son croissance, son acquisition de Green Giant Frozen et son rendement financier solide, ainsi que des analyses positives de la part d'analystes et de particuliers.",concentrated,10-K SEC (2026-06-11) : ten customers represented approximately 56% and 53% of net sales [https://www.sec.gov/Archives/edgar/data/88948/000143774926020290/senea20260331_10k.htm]
