ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,reinforcement_count,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
2303.TW,United Microelectronics Corporation,Technology,Taiwan,closed,TWD,False,2026-09-11,140.5,4.0,15.297512544849017,0.5579763949021352,1.2331560283687943,1.880521224401695,0.1816076893352006,2026-09-24,154.0,0.4013776542245497,1.880521224401695,16.972035571751626,0.096085409252669,0.188612099644128,2026-09-22,2026-09-24,154.0,trailing_stop,15.972035571751626,0.0307153043373624,13.0,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de jumps de revenue et de valorisation, ce qui suggere un ton general positif pour l'action.",concentrated,"L'entreprise semble dépendre d'un petit nombre de clients, notamment pour la fabrication de circuits intégrés, ce qui suggère une concentration de la base de clients."
1590.TW,Airtac International Group,Industrials,Taiwan,open,TWD,False,2026-09-11,1285.0,1.0,34.977408576745525,0.4391488270186596,1.3470802919708027,0.9329979807476804,0.1194109799406772,2026-09-25,1210.0,0.5510658997484494,0.9329979807476805,33.35538558348168,-0.05836575875486383,0.0,2026-09-11,,,,,,,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des croissances de revenue et de profit, des augmentations de revenue et des ambitions de croissance, ce qui suggere un ton general positif pour l'action Airtac International Group.",diversified,"Airtac International Group offre une large gamme de produits pour différents secteurs, tels que l'automobile, la mécanique, l'électronique, etc., ce qui suggère qu'elle a une base de clients large et diversifiée."
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-11,15.739999771118164,12.0,31.877404596555056,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287883243168445,2026-09-25,15.34000015258789,0.5033902093316409,0.31565283426487234,31.095646458397773,-0.025412936743763215,0.0108005132634045,2026-09-14,,,,,,,0,ollama,positive,"Les actualites presentes montrent une croissance revenue et des marges accrues, ainsi qu'une expansion digitale, ce qui suggere un ton general positif pour l'action d'Ambev S.A.",diversified,"L'entreprise propose une large gamme de boissons à travers divers marchés, ce qui suggère une base de clients large et diversifiée."
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-11,113.5,10.0,30.89444259502426,0.6852037354297695,1.269392033542977,0.1097823325195554,0.0036748849442611,2026-09-25,114.0,0.655947749794862,0.10978233251955549,31.42573517782571,0.004405286343612369,0.0132158590308371,2026-09-22,,,,,,,0,ollama,positive,"L'actualité mentionne une analyse de marché pour l'industrie des seals d'huile et de gaz, ce qui suggère une tendance positive pour l'action.",diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-11,2240.5,1.0,12.517109757918936,0.7048247721552858,1.1791497975708505,0.5042053470821488,0.1051716622566714,2026-09-25,2399.0,0.6999841812873706,0.5042053470821488,13.35656863974435,0.07074313769247942,0.0725284534702075,2026-09-25,,,,,,,0,ollama,positive,"L'action d'Astellas Pharma Inc. semble être positive suite aux annonces de Trump sur les prix des médicaments, ce qui pourrait avoir un impact positif sur la valeur de l'action.",concentrated,"La description de l'activité d'Astellas Pharma Inc. ne mentionne aucun client principal ou contrat gouvernemental unique, ce qui suggère une concentration sur une base de clients large et diversifiée."
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-11,1005.0,1.0,27.35587207753249,0.6494291928850642,1.4273722627737229,0.2210448961994704,0.1194109799406772,2026-09-25,1285.0,0.3870243600161891,0.22104489619947043,35.42286816097021,0.2786069651741294,0.2786069651741294,2026-09-24,,,,,,,0,ollama,neutral,"Les actualites fournies ne contiennent pas de commentaires ou d'informations significatives sur l'action de United Integrated Services Co., Ltd. (2404.TW) qui pourraient influencer le ton general.",diversified,"L'entreprise propose une gamme d'activités et de services qui englobent des projets de construction, de maintenance, de conception, d'installation et de trading, ce qui suggère une base de clients large et diversifiée."
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-11,508.0,2.0,27.65528958285872,0.4647752263027724,1.2225177304964538,0.6979320984207729,0.1816076893352006,2026-09-25,538.0,0.3202282554246092,0.6979320984207729,29.66148337836883,0.059055118110236116,0.0748031496062993,2026-09-23,,,,,,,0,ollama,negative,Aucune information positive ou neutre n'est disponible dans les actualités fournies.,diversified,"Le texte mentionne plusieurs applications (memoires, TFT LCD, hard disk drives, serveurs, etc.) et plusieurs pays de production, ce qui suggère une base de clients large et diversifiée."
BVS,Bioventus Inc.,Healthcare,United States,open,USD,True,2026-09-11,13.0600004196167,2.9629933484504583,33.333333333333336,0.5443398658903456,1.0455465587044537,1.040358669922274,0.1051716622566714,2026-09-25,13.520000457763672,0.4744288224701845,1.040358669922274,35.12432089906113,0.03522205385660104,0.0451760474699043,2026-09-23,,,,,,,0,ollama,positive,"Les actualites recentes sur Bioventus Inc. (BVS) suggèrent une tendance positive, avec des performances solides en termes de ventes et de bénéfices, ainsi que des recommandations de investissement et des analyses positives.",diversified,"Le texte mentionne une gamme de produits pour différents types de clients, notamment des patients, des médecins, des établissements de santé, des distributeurs et des détaillants, ce qui suggère une base de clients large et diversifiée."
PATH,"UiPath, Inc.",Technology,United States,open,USD,True,2026-09-11,13.788124644160176,1.494892236335415,17.777206932874613,0.617743216306843,1.2313829787234043,0.3953662120035093,0.1816076893352006,2026-09-25,12.600000381469727,0.6689142638547494,0.3953662120035093,16.515092027719177,-0.08617011329337432,0.0717375554267334,2026-09-14,,,,,,,1,ollama,negative,"L'actualité présente plusieurs éléments négatifs, tels que la chute de 25% de la valeur de l'action, la rétraction de 8% après les résultats de Q2, la chute de 24% après les résultats de Q2, ainsi que la réduction de la cible de prix de 70% par Citi, ce qui suggère une révision de la perspective pos",concentrated,"10-K SEC (2026-03-25) : customers with ARR of $1 million or more, which accounted for approximately 89% and 52% of our revenue [https://www.sec.gov/Archives/edgar/data/1734722/000173472226000012/path-20260131.htm]"
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-11,2775.0,2.0,31.00645354003575,0.6286270609689923,1.0755813953488371,0.4504489786074388,0.0287883243168445,2026-09-25,2867.5,0.5143733627569391,0.4504489786074388,31.929937952869462,0.03333333333333344,0.0446846846846846,2026-09-17,,,,,,,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de diversification, de renforcement de la position de Kirin Holdings sur le marché et de son engagement en faveur de la transformation digitale.",diversified,"L'entreprise propose une gamme de produits et de services diversifiés, notamment en matière de boissons, de médicaments, de cosmétiques et de services logistiques, ce qui suggère qu'elle n'est pas dépendante d'un petit nombre de clients."
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Brazil,open,BRL,False,2026-09-11,17.65999984741211,5.0,14.902450457889053,0.5926721012768035,1.2049248747913188,0.2682495170027918,0.1925669936840393,2026-09-25,17.81999969482422,0.5704776066717785,0.2682495393572306,15.051184400453655,0.009060014088027035,0.0481313923450732,2026-09-22,,,,,,,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des croissances de revenue, des nouveaux produits et une performance solide, mais il y a aussi une mention d'un downgrade de rating et d'une antitrust warning, ce qui pourrait avoir un impact sur l'action.",concentrated,"l'entreprise semble dépendre d'un très petit nombre de clients, notamment le client principal et les contrats gouvernementaux."
2006.TW,Tung Ho Steel Enterprise Corporation,Basic Materials,Taiwan,open,TWD,False,2026-09-11,82.5,7.0,15.71941902962688,0.6941403766687857,1.0926573426573427,0.4120969916689139,0.2669720960973309,2026-09-25,87.80000305175781,0.621628467268595,0.4120969916689139,16.94233115054194,0.06424246123342803,0.0666666666666666,2026-09-24,,,,,,,0,ollama,neutral,L'actualité présente une équilibre entre des informations positives (financement et stabilisation des prix) et des informations neutres ou négatives (article sur l'urban mining et un article scientifique sur l'utilisation du slag de fer),concentrated,"le texte ne mentionne qu'un seul grand groupe comme client principal et ne précise pas si le secteur public est un seul client ou plusieurs, mais il ne mentionne pas non plus de diversification de clients"
9939.TW,"Taiwan Hon Chuan Enterprise Co., Ltd.",Consumer Cyclical,Taiwan,open,TWD,False,2026-09-11,129.5,2.0,7.049921261772056,0.5243810999635752,1.0660377358490565,0.0840890081749621,0.0036748849442611,2026-09-25,124.5,0.6146459352989315,0.08408900817496212,6.864042157261932,-0.038610038610038644,0.0,2026-09-11,,,,,,,0,ollama,negative,"Aucune actualité positive ou neutre a été trouvée, les seules informations disponibles sont des données historiques et des informations sur d'autres entreprises.",diversified,"L'entreprise offre une gamme de produits à des clients dans différents pays et industries, ce qui suggère une base de clients large et diversifiée."
2413.TW,"Universal Microelectronics Co., Ltd.",Technology,Taiwan,open,TWD,False,2026-09-24,51.5,11.0,15.608211284735871,0.9410576028075444,1.0782647584973164,1.0045343819685346,0.1760461336247574,2026-09-25,51.29999923706055,0.9757678129851648,1.0045343819685346,15.555738681677003,-0.0038835099599894285,0.0,2026-09-24,,,,,,,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de repurchase de actions et de valuation justifiee, ce qui suggere un ton general positif pour l'action de M3.",diversified,"Le texte indique que l'entreprise vend des produits électroniques à des clients dans plusieurs régions du monde, ce qui suggère une base de clients large et diversifiée."
